stringNum	noteStime	TrueSuccess	perceivedSuccess
0	0	False	False
2.25	1794.25522499999	False	False
1.15	3618.66599999999	False	False
2.25	5427.99899999998	False	False
2.25	7224.59899999997	False	False
2.25	9021.19899999995	False	False
1.15	10817.7989999999	False	False
2.25	12614.3989999999	False	False
2.25	14410.9989999999	False	False
2.25	16194.2516916666	False	False
1.15	17977.5043833333	False	False
2.25	19760.7570749999	False	False
1.15	21547.7404208333	False	False
2.25	23364.5689999999	False	False
1.15	25155.2829999999	False	False
2.25	26942.2663458333	False	False
2.25	28679.9969999999	False	False
1.15	30427.2189999999	False	False
0	33921.6629999999	False	False
1.15	37416.1069999998	False	False
1.15	40910.5509999998	False	False
2.25	44404.9949999998	False	False
