stringNum	noteStime	TrueSuccess	perceivedSuccess
0	0	False	False
2.25	3179.37199999985	False	False
2.25	4769.05799999985	False	False
0	6358.74399999985	False	False
0	7948.42999999985	False	False
2.25	9538.11599999985	False	False
2.25	11127.8019999999	False	False
0	12717.4879999999	False	False
0	14307.1739999999	False	False
2.25	15896.8599999999	False	False
2.25	17486.5459999999	False	False
0	19076.2319999999	False	False
0	20665.9179999999	False	False
2.25	22255.6039999999	False	False
2.25	23845.2899999999	False	False
0	25434.9759999999	False	False
0	27024.6619999999	False	False
2.25	28614.3479999999	False	False
0	30204.0339999999	False	False
2.25	31793.7199999999	False	False
0	33383.4059999999	False	False
2.25	34973.0919999999	False	False
0	36562.7779999999	False	False
2.25	38152.4639999999	False	False
